Year,Artist,Title,URL,TrackId,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,Album,Image,Explicit,Popularity,Preview
1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volare),https://open.spotify.com/track/006Ndmw2hHxvnLbJsBFnPx,006Ndmw2hHxvnLbJsBFnPx,0.987,0.518,216373.0,0.06,7.87e-06,10.0,0.161,-14.887,1.0,0.0441,127.87,4.0,0.336,Tutto Modugno (Mister Volare),https://i.scdn.co/image/5e8c49f7a8d161c1d6510999bd867b6a91640dae,False,34.0,https://p.scdn.co/mp3-preview/a0e2ef35a1613d868ca54ec824696df2300b1451?cid=bca78196e824433fbdf88ec18d84825f
1958,Henry Mancini,The Music From Peter Gunn,https://open.spotify.com/track/3BdPP6Xce6FUcfaCFsnZIg,3BdPP6Xce6FUcfaCFsnZIg,0.893,0.55,177733.0,0.318,0.881,0.0,0.0311,-14.516,1.0,0.0313,138.037,4.0,0.62,The music from Peter Gunn,https://i.scdn.co/image/1ad2e8ce1f988c27678298235e8e15086dd77cd5,False,16.0,https://p.scdn.co/mp3-preview/8380c4830866fc12515b743e0d782d9dc0b18262?cid=bca78196e824433fbdf88ec18d84825f
1958,"Domenico Modugno, songwriter (Domenico Modugno)",Nel Blu Dipinto Di Blu (Volare),https://open.spotify.com/track/006Ndmw2hHxvnLbJsBFnPx,006Ndmw2hHxvnLbJsBFnPx,0.987,0.518,216373.0,0.06,7.87e-06,10.0,0.161,-14.887,1.0,0.0441,127.87,4.0,0.336,Tutto Modugno (Mister Volare),https://i.scdn.co/image/5e8c49f7a8d161c1d6510999bd867b6a91640dae,False,34.0,https://p.scdn.co/mp3-preview/a0e2ef35a1613d868ca54ec824696df2300b1451?cid=bca78196e824433fbdf88ec18d84825f
1958,Ella Fitzgerald,Ella Fitzgerald Sings The Irving Berlin Song Book,https://open.spotify.com/track/5FY0EikZVSBOwpjQa9S5Ii,5FY0EikZVSBOwpjQa9S5Ii,0.675,0.615,138320.0,0.186,0.0,0.0,0.194,-12.382,0.0,0.0508,73.007,4.0,0.749,Ella Fitzgerald Sings The Irving Berlin Song Book,https://i.scdn.co/image/3350581fb4712a44a6f6b50e234f6539c291b425,False,34.0,
1958,Perry Como,Catch A Falling Star,https://open.spotify.com/track/38YMdelhj62vJ6d5a0wxMQ,38YMdelhj62vJ6d5a0wxMQ,0.864,0.628,148493.0,0.172,0.0,11.0,0.113,-17.816,1.0,0.06,118.895,3.0,0.475,It's Impossible,https://i.scdn.co/image/0a33dd0dbd1b416c245c8c803a27626b9cdf8cf9,False,44.0,https://p.scdn.co/mp3-preview/9e2cfff3559c2e26127e18aa7bcf682950674830?cid=bca78196e824433fbdf88ec18d84825f
1958,Billy May,Billy May's Big Fat Brass,https://open.spotify.com/track/4fv9FQ1TNeAYw8zJrVMUi7,4fv9FQ1TNeAYw8zJrVMUi7,0.421,0.711,145907.0,0.254,4.49e-05,0.0,0.136,-12.661,0.0,0.0374,115.418,4.0,0.552,Billy May's Big Fat Brass,https://i.scdn.co/image/04fbb97c5d46c80d9fc9e1972c28a6b401c8aa18,False,9.0,
1958,Count Basie,Basie,https://open.spotify.com/track/5Ig7DEh90IPEw02jUvRC5P,5Ig7DEh90IPEw02jUvRC5P,0.472,0.438,236240.0,0.539,0.598,5.0,0.0682,-9.444,1.0,0.0345,171.281,3.0,0.696,Straight Ahead,https://i.scdn.co/image/e6b2271b379dc3c9e37767e8dbde667dfaa28970,False,36.0,
1958,"Keely Smith, Louis Prima",That Old Black Magic,https://open.spotify.com/track/0e7LFGPufvU4ITix9vNSuc,0e7LFGPufvU4ITix9vNSuc,0.198,0.659,176733.0,0.358,5.1e-06,2.0,0.231,-13.532,0.0,0.145,123.927,4.0,0.741,"Wild, Cool & Swingin'",https://i.scdn.co/image/bef5546fc84b023d947998a19cb8d2b0cb602c14,False,17.0,
1958,Ella Fitzgerald,Ella Fitzgerald Sings The Duke Ellington Song Book,https://open.spotify.com/track/6GAx6lPSiZ3JQDeXoNuMWt,6GAx6lPSiZ3JQDeXoNuMWt,0.518,0.391,288320.0,0.44,1.97e-05,7.0,0.216,-12.372,0.0,0.065,168.488,4.0,0.696,Ella Fitzgerald Sings The Duke Ellington Song Book,https://i.scdn.co/image/2a6580d16f9ddefd2c5c2b46886c1e7d343e491b,False,9.0,
1958,"David Seville & The Chipmunks (Ross Bagdasarian, Sr.)",The Chipmunk Song,https://open.spotify.com/track/02NKMA9cIkq6VuBNu9q9Wf,02NKMA9cIkq6VuBNu9q9Wf,0.707,0.613,141467.0,0.37,2.98e-06,3.0,0.23,-11.548,1.0,0.0344,152.548,3.0,0.777,Christmas With The Chipmunks (2010),https://i.scdn.co/image/487fe327cce1dcb4a24ee2ca3c669c3ac2c54972,False,34.0,
